Method2,,
File Name,Bird Vocalization,Heavy Activity
20190616_151000.WAV,1,1
20190616_161000.WAV,0,0
20190616_170000.WAV,0,0
20190616_180000.WAV,0,0
20190616_190000.WAV,0,0
20190616_200000.WAV,1,0
20190616_213000.WAV,1,1
20190616_222000.WAV,1,0
20190617_010000.WAV,1,1
20190617_074000.WAV,0,0
20190617_081000.WAV,1,1
20190617_090000.WAV,1,1
20190617_110000.WAV,0,0
20190617_120000.WAV,1,1
20190617_130000.WAV,1,0
20190617_140000.WAV,0,0
20190618_003000.WAV,1,1
20190618_055000.WAV,0,0
20190618_065000.WAV,0,0
20190618_101000.WAV,0,0
20190619_042000.WAV,1,0
20190620_034000.WAV,1,1
20190622_024000.WAV,1,1
20190628_230000.WAV,0,0
20190615_150000.WAV,1,0
20190615_174000.WAV,1,1
20190615_193000.WAV,1,0
20190615_200000.WAV,0,0
20190615_210000.WAV,1,1
20190615_220000.WAV,0,0
20190616_034000.WAV,0,0
20190616_043000.WAV,1,1
20190616_050000.WAV,0,0
20190616_062000.WAV,1,1
20190616_094000.WAV,0,0
20190616_110000.WAV,0,0
20190616_120000.WAV,1,0
20190616_131000.WAV,1,0
20190616_140000.WAV,0,0
20190616_161000.WAV,0,0
20190616_183000.WAV,1,0
20190617_104000.WAV,0,0
20190618_024000.WAV,1,1
20190618_073000.WAV,0,0
20190622_082000.WAV,1,1
20190628_233000.WAV,1,1
20190703_010000.WAV,1,1
20190704_003000.WAV,0,0
20190621_174000.WAV,1,0
20190621_182000.WAV,0,0
20190621_190000.WAV,1,1
20190621_202000.WAV,0,0
20190621_210000.WAV,1,0
20190621_221000.WAV,1,1
20190622_011000.WAV,0,0
20190622_021000.WAV,1,0
20190622_030000.WAV,0,0
20190622_042000.WAV,1,0
20190622_050000.WAV,1,1
20190622_060000.WAV,1,0
20190622_071000.WAV,1,1
20190622_081000.WAV,0,0
20190622_090000.WAV,1,1
20190622_102000.WAV,1,1
20190622_110000.WAV,1,0
