Method2,,
File Name,Bird Vocalization,Heavy Activity
20190611_034000.WAV,1,1
20190611_162000.WAV,0,0
20190611_175000.WAV,0,0
20190611_190000.WAV,0,0
20190611_210000.WAV,1,1
20190611_233000.WAV,1,0
20190613_054000.WAV,1,1
20190613_083000.WAV,0,0
20190613_093000.WAV,1,1
20190613_155000.WAV,0,0
20190613_203000.WAV,1,0
20190614_062000.WAV,1,1
20190616_171000.WAV,1,0
20190616_181000.WAV,0,0
20190616_193000.WAV,0,0
20190616_203000.WAV,1,0
20190616_214000.WAV,1,1
20190616_221000.WAV,1,0
20190617_074000.WAV,0,0
20190617_085000.WAV,1,1
20190617_095000.WAV,0,0
20190617_101000.WAV,1,1
20190617_110000.WAV,0,0
20190617_120000.WAV,0,0
20190617_130000.WAV,1,1
20190617_140000.WAV,1,0
20190617_151000.WAV,0,0
20190617_160000.WAV,1,1
20190618_000000.WAV,1,0
20190618_041000.WAV,1,1
20190619_022000.WAV,0,0
20190619_031000.WAV,1,0
20190619_051000.WAV,0,0
20190619_061000.WAV,0,0
20190620_015000.WAV,1,1
20190623_231000.WAV,0,0
20190618_194000.WAV,1,1
20190618_200000.WAV,0,0
20190618_212000.WAV,1,0
20190618_220000.WAV,1,1
20190619_073000.WAV,1,1
20190619_081000.WAV,0,0
20190619_091000.WAV,1,0
20190619_100000.WAV,1,0
20190619_110000.WAV,0,0
20190619_120000.WAV,1,1
20190619_130000.WAV,1,1
20190619_143000.WAV,1,0
20190619_151000.WAV,0,0
20190619_160000.WAV,1,1
20190619_171000.WAV,1,1
20190620_020000.WAV,0,0
20190620_042000.WAV,1,1
20190620_181000.WAV,1,1
20190621_030000.WAV,0,0
20190621_060000.WAV,1,1
20190622_050000.WAV,1,0
20190628_235000.WAV,1,1
20190629_012000.WAV,1,0
20190630_002000.WAV,0,0
20190619_042000.WAV,1,0
20190619_051000.WAV,1,0
20190619_061000.WAV,1,0
20190619_070000.WAV,1,1
20190619_082000.WAV,1,0
20190619_090000.WAV,0,0
20190619_102000.WAV,1,1
20190619_110000.WAV,1,1
20190619_121000.WAV,1,0
20190619_130000.WAV,1,0
20190619_140000.WAV,1,0
20190619_151000.WAV,0,0
20190619_161000.WAV,1,1
20190619_171000.WAV,1,1
20190619_190000.WAV,1,1
20190619_203000.WAV,1,1
20190619_212000.WAV,1,1
20190619_224000.WAV,1,0
20190620_180000.WAV,0,0
20190627_002000.WAV,1,0
20190627_022000.WAV,1,1
20190627_234000.WAV,1,0
20190706_010000.WAV,0,0
20190611_044000.WAV,1,1
20190611_061000.WAV,1,1
20190611_071000.WAV,1,0
20190611_080000.WAV,1,1
20190611_105000.WAV,0,0
20190611_122000.WAV,1,0
20190611_132000.WAV,0,0
20190611_140000.WAV,1,0
20190611_152000.WAV,1,1
20190611_160000.WAV,1,0
20190611_173000.WAV,0,0
20190611_182000.WAV,1,1
20190611_192000.WAV,0,0
20190611_200000.WAV,1,1
20190611_211000.WAV,1,1
20190611_221000.WAV,1,0
20190611_230000.WAV,1,1
20190612_001000.WAV,1,0
20190612_014000.WAV,0,0
20190612_020000.WAV,1,0
20190612_031000.WAV,1,1
20190612_054000.WAV,0,0
20190612_091000.WAV,1,1
20190612_110000.WAV,1,1
