,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Global_Score
21829,AM-2,248C7D075B2BF148,GRABADOR-SDZG-AM-2/20190615_214000.WAV,GRABADOR-SDZG-AM-2,20190615_214000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21,60.00046875,,Recorded at 21:40:00 15/06/2019 (UTC) by AudioMoth 248C7D075B2BF148 at gain setting 2 while battery state was 4.7V.,AudioMoth 248C7D075B2BF148,2019:12:08 04:40:39-08:00,WAV,WAV,audio/x-wav,0.9918702841
2197,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190701_210000.WAV,GRABADOR-SDZG-AM-1,20190701_210000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21,60.00046875,,Recorded at 21:00:00 01/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:22:06-08:00,WAV,WAV,audio/x-wav,0.9871510267
40825,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190630_224000.WAV,GRABADOR-SDZG-AM-25,20190630_224000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22,60.00046875,,Recorded at 22:40:00 30/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 3.9V.,AudioMoth 24E144035BA455E9,2019:12:08 18:55:58-08:00,WAV,WAV,audio/x-wav,0.8481242061
29552,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190706_215000.WAV,GRABADOR-SDZG-AM-22,20190706_215000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21,60.00046875,,Recorded at 21:50:00 06/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.0V.,AudioMoth 247AA5015BA446DA,2019:12:10 22:08:48-08:00,WAV,WAV,audio/x-wav,0.9901899695
30118,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190710_201000.WAV,GRABADOR-SDZG-AM-22,20190710_201000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20,60.00046875,,Recorded at 20:10:00 10/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 3.9V.,AudioMoth 247AA5015BA446DA,2019:12:10 22:57:50-08:00,WAV,WAV,audio/x-wav,0.9244637489
471,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_212000.WAV,GRABADOR-SDZG-AM-1,20190619_212000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21,60.00046875,,Recorded at 21:20:00 19/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:27:53-08:00,WAV,WAV,audio/x-wav,0.9442995191
52334,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190709_203000.WAV,GRABADOR-SDZG-AM-29,20190709_203000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20,60.00046875,,Recorded at 20:30:00 09/07/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 3.8V.,AudioMoth 247AA5015BA446E5,2019:12:08 15:15:49-08:00,WAV,WAV,audio/x-wav,0.620208621
51478,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190703_215000.WAV,GRABADOR-SDZG-AM-29,20190703_215000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21,60.00046875,,Recorded at 21:50:00 03/07/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.0V.,AudioMoth 247AA5015BA446E5,2019:12:08 14:01:47-08:00,WAV,WAV,audio/x-wav,0.980637908
38091,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190707_224000.WAV,GRABADOR-SDZG-AM-24,20190707_224000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22,60.00046875,,Recorded at 22:40:00 07/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.7V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:10:50-08:00,WAV,WAV,audio/x-wav,0.988853693
57860,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190630_210000.WAV,GRABADOR-SDZG-AM-30,20190630_210000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21,60.00046875,,Recorded at 21:00:00 30/06/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 4.1V.,AudioMoth 248C7D075B2BF656,2019:12:18 15:26:52-08:00,WAV,WAV,audio/x-wav,0.9542754889
